id,classe_predita,confianca
0,OOD,0.9002
1,Pullover,0.9889
2,Trouser,1.0
3,Trouser,1.0
4,OOD,0.8276
5,Trouser,1.0
6,OOD,0.9465
7,OOD,0.9459
8,Sandal,0.9979
9,Sneaker,0.9995
10,OOD,0.9527
11,Sandal,0.9998
12,Sneaker,0.9965
13,Dress,0.9965
14,OOD,0.9435
15,Trouser,0.9999
16,Pullover,0.9678
17,OOD,0.5581
18,Bag,0.9991
19,T-shirt/top,0.9698
20,OOD,0.9582
21,Sneaker,0.9714
22,Sneaker,0.999
23,OOD,0.8214
24,Trouser,1.0
25,OOD,0.478
26,OOD,0.8956
27,OOD,0.5082
28,OOD,0.8065
29,OOD,0.4851
30,Bag,1.0
31,Bag,1.0
32,Dress,0.9716
33,Dress,0.9824
34,Bag,0.9998
35,OOD,0.8587
36,Sneaker,0.9996
37,Sandal,0.9892
38,Sneaker,0.9985
39,Ankle boot,0.9935
40,OOD,0.5187
41,Trouser,1.0
42,OOD,0.4863
43,OOD,0.7783
44,OOD,0.8315
45,OOD,0.7962
46,OOD,0.9461
47,Trouser,0.998
48,OOD,0.5754
49,OOD,0.8179
50,OOD,0.7936
51,OOD,0.6304
52,Sandal,1.0
53,OOD,0.9259
54,OOD,0.9394
55,OOD,0.9553
56,Bag,1.0
57,OOD,0.9055
58,Bag,0.9999
59,T-shirt/top,0.9859
60,Sneaker,0.9995
61,Sneaker,0.9949
62,Bag,0.9999
63,Sandal,1.0
64,Trouser,1.0
65,Trouser,1.0
66,OOD,0.3563
67,OOD,0.5382
68,Sneaker,0.9809
69,Bag,1.0
70,Sneaker,0.9975
71,OOD,0.9571
72,Pullover,0.9651
73,OOD,0.5525
74,OOD,0.807
75,Dress,0.9868
76,Trouser,1.0
77,Pullover,0.9933
78,Bag,0.9998
79,Coat,0.9686
80,Trouser,1.0
81,Bag,1.0
82,Sandal,0.9999
83,Ankle boot,0.9956
84,Sandal,1.0
85,T-shirt/top,0.9651
86,Dress,0.9607
87,Pullover,0.9914
88,T-shirt/top,0.9913
89,OOD,0.8724
90,Sandal,0.9999
91,Dress,0.9886
92,Shirt,0.9804
93,Sneaker,0.9981
94,Trouser,1.0
95,Bag,0.9973
96,OOD,0.936
97,Trouser,1.0
98,OOD,0.8483
99,Pullover,0.9826
100,Dress,0.9957
101,OOD,0.8985
102,Sneaker,0.9992
103,OOD,0.4418
104,Sneaker,0.9988
105,Bag,0.9997
106,Sandal,1.0
107,OOD,0.6455
108,Ankle boot,0.9894
109,Coat,0.9851
110,Pullover,0.979
111,Sandal,0.9999
112,Sneaker,0.9993
113,OOD,0.6136
114,Sandal,0.9999
115,Pullover,0.9973
116,Bag,1.0
117,OOD,0.5574
118,Sneaker,0.9989
119,Bag,0.998
120,OOD,0.864
121,T-shirt/top,0.9892
122,OOD,0.7493
123,Ankle boot,0.975
124,Dress,0.9938
125,T-shirt/top,0.9619
126,Bag,1.0
127,OOD,0.88
128,Trouser,0.999
129,Sandal,0.9973
130,OOD,0.9309
131,Trouser,1.0
132,Ankle boot,0.9845
133,Trouser,1.0
134,Bag,0.9999
135,OOD,0.5823
136,OOD,0.9576
137,Trouser,1.0
138,OOD,0.9564
139,Sandal,0.9972
140,Trouser,1.0
141,OOD,0.6761
142,T-shirt/top,0.9697
143,T-shirt/top,0.9806
144,Trouser,1.0
145,OOD,0.6286
146,Trouser,1.0
147,Dress,0.986
148,Pullover,0.9934
149,OOD,0.8767
150,OOD,0.7537
151,OOD,0.898
152,Trouser,0.9999
153,OOD,0.5489
154,Sandal,0.9999
155,OOD,0.6209
156,OOD,0.913
157,Sneaker,0.9984
158,Ankle boot,0.999
159,Dress,0.9981
160,Sneaker,0.9912
161,Pullover,0.9952
162,OOD,0.8987
163,Ankle boot,0.9701
164,OOD,0.9414
165,Ankle boot,0.9932
166,OOD,0.8283
167,OOD,0.9429
168,Coat,0.9656
169,Pullover,0.9801
170,OOD,0.5202
171,Sandal,1.0
172,OOD,0.5984
173,Trouser,1.0
174,Pullover,0.9912
175,Trouser,0.9928
176,Dress,0.9959
177,OOD,0.9077
178,Ankle boot,0.9955
179,Trouser,1.0
180,T-shirt/top,0.9736
181,Ankle boot,0.9678
182,OOD,0.9318
183,OOD,0.8592
184,Sneaker,0.9997
185,Ankle boot,0.999
186,Ankle boot,0.9872
187,Coat,0.9767
188,OOD,0.8899
189,Sneaker,0.9991
190,Trouser,0.9992
191,Pullover,0.9736
192,OOD,0.9531
193,OOD,0.925
194,Dress,0.9909
195,OOD,0.9479
196,Bag,0.999
197,Dress,0.9621
198,Shirt,0.9768
199,Trouser,1.0
200,Trouser,1.0
201,OOD,0.9513
202,Pullover,0.9632
203,Ankle boot,0.9824
204,Pullover,0.9618
205,OOD,0.8725
206,OOD,0.9473
207,Sneaker,0.9995
208,Ankle boot,0.985
209,Bag,0.994
210,Coat,0.9807
211,Trouser,1.0
212,Bag,0.997
213,OOD,0.9298
214,Trouser,1.0
215,Dress,0.9939
216,Trouser,0.9807
217,OOD,0.609
218,Sneaker,0.9974
219,Pullover,0.9659
220,Bag,0.9998
221,Sandal,0.9996
222,OOD,0.4514
223,OOD,0.8604
224,Sneaker,0.9988
225,Sneaker,0.9984
226,OOD,0.9141
227,OOD,0.7156
228,Sneaker,0.9976
229,OOD,0.7248
230,Sneaker,0.9974
231,Bag,1.0
232,Ankle boot,0.9917
233,Pullover,0.9663
234,Ankle boot,0.9964
235,OOD,0.7881
236,Sandal,0.9999
237,Trouser,1.0
238,OOD,0.9414
239,OOD,0.6152
240,Sandal,0.9982
241,OOD,0.6277
242,OOD,0.9497
243,OOD,0.9199
244,OOD,0.8385
245,Bag,0.9965
246,Shirt,0.9713
247,OOD,0.8954
248,OOD,0.7298
249,OOD,0.8158
250,OOD,0.9491
251,Sneaker,0.9995
252,OOD,0.6197
253,Sandal,0.9955
254,Sandal,1.0
255,OOD,0.5181
256,Bag,1.0
257,Sandal,1.0
258,OOD,0.946
259,Dress,0.9896
260,T-shirt/top,0.9788
261,OOD,0.6933
262,Bag,0.9974
263,OOD,0.9534
264,T-shirt/top,0.9902
265,OOD,0.8283
266,Dress,0.9774
267,Bag,0.9997
268,OOD,0.5347
269,OOD,0.5793
270,Trouser,1.0
271,OOD,0.4993
272,T-shirt/top,0.9773
273,OOD,0.8514
274,Dress,0.999
275,T-shirt/top,0.9953
276,Bag,0.9911
277,Dress,0.9855
278,Sneaker,0.9996
279,OOD,0.8686
280,T-shirt/top,0.9783
281,Trouser,0.9998
282,OOD,0.8429
283,OOD,0.9383
284,OOD,0.9106
285,OOD,0.5535
286,OOD,0.7681
287,Sneaker,0.9982
288,OOD,0.9168
289,OOD,0.5225
290,OOD,0.829
291,Ankle boot,0.9988
292,Sandal,1.0
293,OOD,0.8236
294,Sandal,1.0
295,Sandal,0.9798
296,Trouser,1.0
297,Ankle boot,0.9772
298,Bag,0.9981
299,OOD,0.6969
300,Dress,0.992
301,OOD,0.9581
302,Shirt,0.9633
303,Bag,0.9995
304,OOD,0.9391
305,OOD,0.9346
306,OOD,0.8858
307,OOD,0.9085
308,Sneaker,0.9949
309,OOD,0.7857
310,Trouser,1.0
311,OOD,0.9128
312,OOD,0.5515
313,OOD,0.8268
314,OOD,0.9322
315,OOD,0.8425
316,OOD,0.9429
317,Trouser,1.0
318,OOD,0.9586
319,Coat,0.9856
320,Bag,1.0
321,OOD,0.884
322,OOD,0.9299
323,Sandal,1.0
324,OOD,0.7469
325,OOD,0.6968
326,Sneaker,0.9975
327,Sneaker,0.9988
328,Sneaker,0.9991
329,Dress,0.9922
330,Dress,0.9964
331,OOD,0.9469
332,OOD,0.4968
333,Sneaker,0.999
334,Trouser,0.9998
335,Dress,0.9982
336,Sneaker,0.9954
337,OOD,0.8027
338,Pullover,0.9876
339,OOD,0.9284
340,Coat,0.9817
341,OOD,0.5381
342,Dress,0.9653
343,Trouser,1.0
344,OOD,0.5972
345,Trouser,1.0
346,Ankle boot,0.9987
347,Coat,0.9759
348,Ankle boot,0.9836
349,Ankle boot,0.9996
350,Trouser,0.9996
351,Sneaker,0.998
352,Bag,0.9962
353,Dress,0.9908
354,OOD,0.6308
355,OOD,0.9117
356,Pullover,0.9633
357,OOD,0.9477
358,Bag,1.0
359,OOD,0.4085
360,Trouser,1.0
361,OOD,0.5106
362,OOD,0.949
363,OOD,0.9542
364,Coat,0.988
365,Sneaker,0.9911
366,Dress,0.9891
367,OOD,0.9588
368,Pullover,0.9745
369,Sandal,0.9997
370,OOD,0.7896
371,Sneaker,0.992
372,Ankle boot,0.9829
373,Coat,0.9756
374,OOD,0.6394
375,Ankle boot,0.9969
376,Dress,0.9995
377,Ankle boot,0.9709
378,OOD,0.7542
379,OOD,0.8681
380,Sandal,0.9997
381,OOD,0.8045
382,OOD,0.7594
383,Dress,0.9801
384,Sandal,0.9993
385,Bag,0.9994
386,Trouser,1.0
387,OOD,0.5536
388,OOD,0.9583
389,OOD,0.4677
